        Gross domestic product,Personal consumption expenditures,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,        Nonresidential,            Structures,            Equipment,            Intellectual property products,        Residential,    Change in private inventories,Net exports of goods and services,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government consumption expenditures and gross investment,    Federal,        National defense,        Nondefense,    State and local
104.6,77.4,43.8,9.8,33.9,33.6,17.2,15.6,11.6,5.5,5.5,0.6,4.1,1.5,0.4,5.9,5.3,0.6,5.6,4.5,1.1,9.6,1.9,1,0.8,7.7
92.2,70.1,38.2,7.7,30.5,32,11.4,11.7,9.2,4.4,4.2,0.6,2.5,-0.2,0.3,4.4,3.9,0.5,4.1,3.1,1,10.3,2,1.1,0.9,8.3
77.4,60.7,31.7,5.9,25.8,29,6.5,7.7,5.8,2.6,2.6,0.5,1.9,-1.1,0,2.9,2.5,0.4,2.9,2.1,0.8,10.2,2,1.1,1,8.1
59.5,48.7,24.1,4,20.2,24.6,1.8,4.2,3.3,1.4,1.5,0.4,0.9,-2.4,0,2,1.7,0.3,1.9,1.3,0.6,9,2,1,1,7
57.2,45.9,23.8,3.8,20,22.2,2.3,3.7,3,1.1,1.4,0.4,0.7,-1.4,0.1,2,1.7,0.3,1.9,1.5,0.4,8.9,2.4,1,1.5,6.5
66.8,51.5,28.5,4.6,23.9,23,4.3,4.9,3.8,1.2,2.1,0.5,1,-0.6,0.3,2.6,2.2,0.3,2.2,1.8,0.5,10.7,3.4,0.9,2.5,7.3
74.3,55.9,31.6,5.5,26.1,24.3,7.4,6.2,4.8,1.4,2.8,0.6,1.4,1.1,-0.2,2.8,2.4,0.4,3,2.5,0.5,11.2,3.6,1.2,2.4,7.6
84.9,62.2,36,6.7,29.2,26.2,9.4,8.2,6.4,1.9,3.9,0.6,1.8,1.2,-0.1,3,2.6,0.4,3.2,2.5,0.6,13.4,5.8,1.4,4.4,7.7
93,66.8,38.4,7.4,31,28.5,13,10.3,8.2,2.7,4.8,0.7,2.2,2.6,0.1,4,3.5,0.6,4,3.2,0.8,13.1,5.3,1.4,3.8,7.9
87.4,64.3,36,6.1,29.9,28.3,7.9,8.5,6.3,2.1,3.4,0.8,2.2,-0.6,1,3.8,3.2,0.6,2.8,2.2,0.7,14.2,5.9,1.5,4.4,8.3
93.5,67.2,37.9,7.2,30.8,29.3,10.2,10,6.9,2.2,3.9,0.8,3.2,0.2,0.8,4,3.3,0.6,3.1,2.4,0.7,15.2,6.2,1.7,4.6,9
102.9,71.3,40.6,8.3,32.3,30.7,14.6,12.2,8.5,2.6,5.2,0.8,3.6,2.4,1.5,4.9,4.1,0.8,3.4,2.7,0.7,15.6,6.8,2.8,4,8.8
129.4,81.1,47.4,10.3,37.2,33.6,19.4,15,10.8,3.3,6.4,1.1,4.2,4.3,1,5.5,4.5,0.9,4.4,3.4,1,27.9,19.1,15.4,3.7,8.8
166,89,51,7.6,43.4,38,11.8,9.9,7.5,2.2,4.1,1.2,2.4,1.9,-0.3,4.4,3.4,1,4.6,2.7,1.9,65.5,56.7,53.5,3.2,8.8
203.1,99.9,56.3,7.5,48.9,43.6,7.4,8.1,6.6,1.8,3.7,1.1,1.6,-0.7,-2.2,4,2.9,1.1,6.3,3.4,2.8,98.1,89.5,86.8,2.7,8.6
224.6,108.6,60.5,7.7,52.8,48.1,9.2,10.1,8.6,2.4,5,1.2,1.5,-0.9,-2,4.9,3.6,1.3,6.9,3.8,3.1,108.7,100.1,97.3,2.8,8.6
228.2,120,67.6,9.1,58.5,52.4,12.4,13.9,12.1,3.3,7.3,1.4,1.8,-1.5,-0.8,6.8,5.4,1.4,7.5,3.9,3.7,96.6,87.3,84.9,2.4,9.3
227.8,144.3,86.2,17.1,69.1,58.1,33.1,27.1,19.2,7.4,9.9,1.8,8,6,7.2,14.2,11.8,2.4,7,5.1,1.9,43.2,32.1,28.1,4,11.1
249.9,162,99.4,21.8,77.6,62.6,37.1,37.7,25.5,8.1,15.3,2,12.2,-0.6,10.8,18.7,16.1,2.6,7.9,6,2,40,25.8,21.2,4.6,14.2
274.8,175,107.4,24.5,83,67.6,50.3,44.7,28.9,9.5,17.3,2.1,15.8,5.7,5.5,15.5,13.3,2.3,10.1,7.6,2.5,44,27.1,21,6.1,16.9
272.8,178.5,108.1,26.6,81.5,70.4,39.1,41.8,26.9,9.2,15.7,2,14.8,-2.7,5.2,14.5,12.2,2.3,9.2,6.9,2.4,50,30.5,22.4,8.1,19.6
300.2,192.2,116.8,32.4,84.4,75.4,56.5,50.8,30,10,17.8,2.3,20.7,5.8,0.7,12.4,10.2,2.1,11.6,9.1,2.5,50.7,29.5,22.7,6.8,21.3
347.3,208.5,124.8,31.7,93,83.7,62.8,52.8,34.2,12,19.9,2.4,18.7,9.9,2.5,17.1,14.2,2.9,14.6,11.2,3.4,73.5,50,43.7,6.2,23.6
367.7,219.5,128.8,31.2,97.5,90.7,57.3,53.8,34.9,12.2,19.7,3,18.9,3.5,1.2,16.5,13.4,3,15.3,10.8,4.5,89.8,64.8,57.4,7.4,25
389.7,233,134.8,34.6,100.2,98.2,60.4,58.5,38.8,13.6,21.5,3.7,19.7,1.9,-0.7,15.3,12.4,2.9,16,11,5,97,70.3,61.2,9.1,26.7
391.1,239.9,135.8,33.7,102.1,104.2,58.1,60,38.6,13.9,20.8,3.9,21.4,-1.9,0.4,15.8,12.9,2.9,15.4,10.4,5.1,92.8,63.3,54.5,8.8,29.5
426.2,258.7,147.4,40.7,106.7,111.3,73.8,68.8,43.4,15.2,23.9,4.3,25.4,5,0.5,17.7,14.4,3.3,17.2,11.5,5.7,93.3,61,52.4,8.6,32.2
450.1,271.6,152.2,40.2,112,119.4,77.7,73.7,49.7,18.2,26.3,5.2,24,4,2.4,21.3,17.6,3.7,18.9,12.8,6.1,98.5,63.1,55,8.1,35.4
474.9,286.7,159.6,42,117.6,127.1,76.5,75.7,53.1,19,28.6,5.6,22.6,0.8,4.1,24,19.6,4.5,19.9,13.3,6.7,107.5,68.4,60,8.5,39.1
482,296,161.6,39.5,122,134.5,70.9,71.3,48.5,17.6,24.9,6,22.8,-0.4,0.5,20.6,16.4,4.1,20,13,7.1,114.5,71.5,62.2,9.3,43
522.5,317.5,172.6,44.9,127.7,144.9,85.7,81.7,53.1,18.1,28.3,6.6,28.6,3.9,0.4,22.7,16.5,6.3,22.3,15.3,7,118.9,73.5,60.9,12.6,45.3
543.3,331.6,177,45.6,131.4,154.6,86.5,83.2,56.4,19.6,29.7,7.1,26.9,3.2,4.2,27,20.5,6.6,22.8,15.2,7.6,121,72.8,60.9,11.9,48.2
563.3,342,178.8,44.2,134.6,163.2,86.6,83.6,56.6,19.7,28.9,8,27,3,4.9,27.6,20.9,6.7,22.7,15.1,7.6,129.8,77.4,64.5,12.8,52.5
605.1,363.1,189,49.5,139.5,174.1,97,90.9,61.2,20.8,32.1,8.4,29.6,6.1,4.1,29.1,21.7,7.4,25,16.9,8.1,140.9,85.5,69.7,15.8,55.4
638.6,382.5,198.2,54.2,143.9,184.3,103.3,97.7,64.8,21.2,34.4,9.2,32.9,5.6,4.9,31.1,23.3,7.7,26.1,17.7,8.4,147.9,87.8,70,17.8,60
685.8,411.2,212.3,59.6,152.7,198.9,112.2,107.3,72.2,23.7,38.7,9.8,35.1,4.8,6.9,35,26.8,8.3,28.1,19.4,8.7,155.5,90.2,69.7,20.5,65.3
743.7,443.6,229.7,66.4,163.3,213.9,129.6,120.4,85.2,28.3,45.8,11.1,35.2,9.2,5.6,37.1,28,9.2,31.5,22.2,9.3,164.9,93.1,70.6,22.6,71.7
815,480.6,249.6,71.7,177.9,231,144.2,130.6,97.2,31.3,53,12.8,33.4,13.6,3.9,40.9,31.1,9.8,37.1,26.3,10.7,186.4,106.5,82.5,24.1,79.8
861.7,507.4,259,74,185,248.4,142.7,132.8,99.2,31.5,53.7,14,33.6,9.9,3.6,43.5,32.5,10.9,39.9,27.8,12.2,208.1,120,95,24.9,88.1
942.5,557.4,284.6,84.8,199.8,272.8,156.9,147.9,107.7,33.6,58.5,15.6,40.2,9.1,1.4,47.9,35.7,12.2,46.6,33.9,12.6,226.8,127.9,101.4,26.6,98.8
1019.9,604.5,304.7,90.5,214.2,299.8,173.6,164.4,120,37.7,65.2,17.2,44.4,9.2,1.4,51.9,38.7,13.2,50.5,36.8,13.7,240.4,131.1,102.1,29.1,109.3
1075.9,647.7,318.8,90,228.8,328.9,170.1,168,124.6,40.3,66.4,17.9,43.4,2,4,59.7,45,14.7,55.8,40.9,14.9,254.2,132.7,100.7,32,121.4
1167.8,701,342.1,102.4,239.7,358.9,196.8,188.6,130.4,42.7,69.1,18.7,58.2,8.3,0.6,63,46.2,16.8,62.3,46.6,15.8,269.3,134.4,98,36.4,134.9
1282.4,769.4,373.8,116.4,257.4,395.6,228.1,219,146.6,47.2,78.9,20.6,72.4,9.1,-3.4,70.8,52.6,18.3,74.2,56.9,17.3,288.2,141.5,100.6,40.9,146.7
1428.5,851.1,416.6,130.5,286.1,434.5,266.9,251.1,172.7,55,95.1,22.7,78.3,15.9,4.1,95.3,75.8,19.5,91.2,71.8,19.3,306.4,145.6,102,43.5,160.8
1548.8,932,451.5,130.2,321.4,480.5,274.5,260.5,191.1,61.2,104.3,25.5,69.5,14,-0.8,126.7,103.5,23.2,127.5,104.5,22.9,343.1,158.1,109.2,48.9,185
1688.9,1032.8,491.3,142.2,349.2,541.4,257.3,263.5,196.8,61.4,107.6,27.8,66.7,-6.3,16,138.7,112.5,26.2,122.7,99,23.7,382.9,172.8,117,55.8,210.2
1877.6,1150.2,546.3,168.6,377.7,603.9,323.2,306.1,219.3,65.9,121.2,32.2,86.8,17.1,-1.6,149.5,121.5,28,151.1,124.6,26.5,405.8,183.8,123.8,60,222.1
2086,1276.7,600.4,192,408.4,676.3,396.6,374.3,259.1,74.6,148.7,35.8,115.2,22.3,-23.1,159.4,128.4,30.9,182.4,152.6,29.8,435.8,198.8,132.8,66,237
2356.6,1426.2,663.6,213.3,450.2,762.6,478.4,452.6,314.6,93.6,180.6,40.4,138,25.8,-25.4,186.9,149.9,37,212.3,177.4,34.8,477.4,216.7,143,73.7,260.7
2632.1,1589.5,737.9,226.3,511.6,851.6,539.7,521.7,373.8,117.7,208.1,48.1,147.8,18,-22.5,230.1,187.3,42.9,252.7,212.8,39.9,525.5,237.7,157.8,79.9,287.8
2862.5,1754.6,799.8,226.4,573.4,954.8,530.1,536.4,406.9,136.2,216.4,54.4,129.5,-6.3,-13.1,280.8,230.4,50.3,293.8,248.6,45.3,590.8,272.4,181,91.4,318.5
3211,1937.5,869.4,243.9,625.4,1068.1,631.2,601.4,472.9,167.3,240.9,64.8,128.5,29.8,-12.5,305.2,245.2,60,317.8,267.8,49.9,654.7,311.7,211.2,100.5,343
3345,2073.9,899.3,253,646.3,1174.6,581,595.9,485.1,177.6,234.9,72.7,110.8,-14.9,-20,283.2,222.6,60.7,303.2,250.5,52.6,710,345.6,242.8,102.8,364.4
3638.1,2286.5,973.8,295,678.8,1312.7,637.5,643.3,482.2,154.3,246.5,81.3,161.1,-5.8,-51.6,277,214,62.9,328.6,272.7,56,765.7,380.2,269.3,110.8,385.6
4040.7,2498.2,1063.7,342.2,721.5,1434.5,820.1,754.7,564.3,177.4,291.9,95.1,190.4,65.4,-102.7,302.4,231.3,71.1,405.1,336.3,68.8,825.2,407.6,294.7,113,417.5
4346.7,2722.7,1137.6,380.4,757.2,1585.1,829.6,807.8,607.7,194.5,307.9,105.3,200.1,21.8,-114,303.2,227.5,75.7,417.2,343.3,73.9,908.4,449.3,326,123.3,459.2
4590.2,2898.4,1195.6,421.4,774.2,1702.8,849.1,842.6,607.8,176.5,317.7,113.5,234.8,6.6,-131.9,321,231.4,89.6,452.9,370,82.9,974.5,478.4,349.2,129.2,496.1
4870.2,3092.1,1256.3,442,814.3,1835.8,892.2,865,615.2,174.2,320.9,120.1,249.8,27.1,-144.8,363.9,265.6,98.4,508.7,414.8,93.9,1030.8,500.2,369.9,130.3,530.5
5252.6,3346.9,1337.3,475.1,862.3,2009.6,937,918.5,662.3,182.8,346.8,132.7,256.2,18.5,-109.4,444.6,332.1,112.5,554,452.1,101.9,1078.2,508.8,379.6,129.2,569.3
5657.7,3592.8,1423.8,494.3,929.5,2169,999.7,972,716,193.7,372.2,150.1,256,27.7,-86.7,504.3,374.8,129.5,591,484.8,106.2,1151.9,531.4,388.6,142.7,620.5
5979.6,3825.6,1491.3,497.1,994.2,2334.3,993.5,978.9,739.2,202.9,371.9,164.4,239.7,14.5,-77.9,551.9,403.3,148.6,629.7,508.1,121.7,1238.4,560,402.8,157.3,678.3
6174,3960.2,1497.4,477.2,1020.3,2462.7,944.3,944.7,723.6,183.6,360.8,179.1,221.2,-0.4,-28.6,594.9,430.1,164.8,623.5,500.7,122.8,1298.2,580.7,412,168.8,717.4
6539.3,4215.7,1563.3,508.1,1055.2,2652.4,1013,996.7,741.9,172.6,381.7,187.7,254.7,16.3,-34.7,633.1,455.3,177.7,667.8,544.9,122.9,1345.4,586.6,404.7,181.9,758.8
6878.7,4471,1642.3,551.5,1090.8,2828.7,1106.8,1086,799.2,177.2,425.1,196.9,286.8,20.8,-65.2,654.8,467.7,187.1,720,592.8,127.2,1366.1,578.4,390.1,188.3,787.7
7308.8,4741,1746.6,607.2,1139.4,2994.5,1256.5,1192.7,868.9,186.8,476.4,205.7,323.8,63.8,-92.5,720.9,518.4,202.6,813.4,676.8,136.6,1403.7,572.7,380.3,192.4,831.1
7664.1,4984.2,1815.5,635.7,1179.8,3168.6,1317.5,1286.3,962.2,207.3,528.1,226.8,324.1,31.2,-89.8,812.8,592.4,220.4,902.6,757.4,145.1,1452.2,575.4,376,199.3,876.8
8100.2,5268.1,1917.7,676.3,1241.4,3350.4,1432.1,1401.3,1043.2,224.6,565.3,253.3,358.1,30.8,-96.4,867.6,628.8,238.8,964,807.4,156.5,1496.4,578.2,376.5,201.7,918.2
8608.5,5560.7,2006.8,715.5,1291.2,3554,1595.6,1524.7,1149.1,250.3,610.9,288,375.6,70.9,-102,953.8,699.9,253.9,1055.8,885.7,170.1,1554.2,582.4,371.4,211,971.8
9089.2,5903,2108.7,779.3,1329.4,3794.3,1735.3,1671.6,1252.8,275.1,660,317.7,418.8,63.7,-162.7,953,692.6,260.4,1115.7,930.8,184.9,1613.5,584.1,367.7,216.4,1029.4
9660.6,6307,2286.8,855.6,1431.2,4020.3,1884.2,1823.4,1361.6,283.9,713.6,364,461.8,60.8,-256.6,992,711.7,280.3,1248.6,1051.2,197.4,1726,610.4,382.7,227.7,1115.6
10284.8,6792.4,2452.9,912.6,1540.3,4339.5,2033.8,1979.2,1493.8,318.1,766.1,409.5,485.4,54.5,-375.8,1096.8,797.3,299.6,1472.6,1251.5,221.2,1834.4,632.4,391.7,240.7,1202
10621.8,7103.1,2525.2,941.5,1583.7,4577.9,1928.6,1966.9,1453.9,329.7,711.5,412.6,513,-38.3,-368.7,1026.7,743.8,282.9,1395.4,1176.7,218.7,1958.8,669.2,412.7,256.5,1289.5
10977.5,7384.1,2598.6,985.4,1613.2,4785.5,1925,1906.5,1348.9,282.9,659.6,406.4,557.6,18.5,-426.5,1002.5,713.2,289.3,1429,1199.3,229.6,2094.9,740.6,456.8,283.8,1354.3
11510.7,7765.5,2721.6,1017.5,1704,5044,2027.9,2008.7,1371.7,281.8,669,420.9,636.9,19.3,-503.7,1040.3,741.4,298.9,1543.9,1296.2,247.7,2220.8,824.8,519.9,304.9,1396
12274.9,8260,2900.3,1079.8,1820.4,5359.8,2276.7,2212.8,1463.1,301.8,719.2,442.1,749.7,63.9,-619.2,1181.5,834.4,347.1,1800.7,1511.6,289.1,2357.4,892.4,570.2,322.1,1465
13093.7,8794.1,3080.3,1127.2,1953.1,5713.8,2527.1,2467.5,1611.5,345.6,790.7,475.1,856.1,59.6,-721.2,1308.9,926.6,382.3,2030.1,1719.4,310.7,2493.7,946.3,608.3,338.1,1547.4
13855.9,9304,3235.8,1156.1,2079.7,6068.2,2680.6,2613.7,1776.3,415.6,856.1,504.6,837.4,67,-770.9,1476.3,1049.6,426.7,2247.3,1899.7,347.6,2642.2,1002,642.4,359.6,1640.2
14477.6,9750.5,3361.6,1184.6,2176.9,6388.9,2643.7,2609.3,1920.6,496.9,885.8,537.9,688.7,34.5,-718.5,1664.6,1166.4,498.2,2383.2,2003.8,379.4,2801.9,1049.8,678.7,371,1752.2
14718.6,10013.6,3375.7,1102.3,2273.4,6637.9,2424.8,2456.8,1941,552.4,825.1,563.4,515.9,-32,-723.1,1841.9,1298.8,543.1,2565,2149.4,415.6,3003.2,1155.6,754.1,401.5,1847.6
14418.7,9847,3198.4,1023.3,2175.1,6648.5,1878.1,2025.7,1633.4,438.2,644.3,550.9,392.2,-147.6,-395.4,1587.7,1065.1,522.6,1983.2,1590.3,392.9,3089.1,1217.7,788.3,429.4,1871.4
14964.4,10202.2,3362.8,1070.7,2292.1,6839.4,2100.8,2039.3,1658.2,362,731.8,564.3,381.1,61.5,-512.7,1852.3,1279.6,572.7,2365,1949.8,415.2,3174,1303.9,832.8,471.1,1870.2
15517.9,10689.3,3596.5,1125.3,2471.1,7092.8,2239.9,2198.1,1812.1,381.6,838.2,592.2,386,41.8,-580,2106.4,1466.9,639.5,2686.4,2244.7,441.6,3168.7,1303.5,836.9,466.5,1865.3
16155.3,11050.6,3739.1,1191.9,2547.2,7311.5,2511.7,2449.9,2007.7,448,937.9,621.7,442.2,61.8,-565.7,2198.2,1526,672.2,2763.8,2305.8,458,3158.6,1292.5,817.8,474.7,1866.1
16691.5,11361.2,3834.5,1241.7,2592.8,7526.7,2706.3,2613.9,2094.4,463.6,982.8,647.9,519.5,92.4,-492,2276.6,1562.7,713.9,2768.6,2301.5,467.1,3116.1,1229.5,767,462.5,1886.6
17393.1,11863.4,3970.5,1294.8,2675.7,7892.9,2886.5,2821,2251,530.7,1040.7,679.6,570.1,65.4,-508.8,2375.3,1618.1,757.2,2884.1,2396.5,487.6,3152.1,1218.9,746,472.9,1933.2
18036.6,12283.7,4012.1,1355.2,2656.9,8271.6,3056.6,2963.2,2311.3,507.3,1086.1,717.9,651.9,93.4,-522,2264.3,1498.4,765.9,2786.3,2291.1,495.2,3218.3,1225,732,493,1993.3
18569.1,12757.9,4098.4,1402.9,2695.5,8659.6,3035.7,3014.8,2308.8,493.8,1057,758,706.1,20.9,-501.3,2232.4,1454.9,777.6,2733.7,2225.6,508.1,3276.7,1244.5,732.2,512.3,2032.2
